,CarPrice,CarMileage,VIN,TimeStamp,Source,Make,Model,Year,Trim,ExteriorColorGeneral,InteriorColorGeneral,DrivetrainGeneral,FuelTypeGeneral,TransmissionGeneral,EngineSize,EngineConfiguration,Fuel System,Turbocharged,Hybrid,ZipLocation
328,32990.0,24425,1C4RJFBG7LC240778,2023-11-24 22:12:37.075377+00:00,Cars.com,JEEP,Grand Cherokee,2020,WK,Other,Black,4WD,Gasoline,Automatic,3.6L,V6,MPFI,0,0,01464
329,29882.0,25298,4S4WMACD0M3426791,2023-11-12 21:45:25.814311+00:00,Cars.com,SUBARU,Ascent,2021,Premium 8+ES+KA,Gray,Black,AWD,Gasoline,Automatic,2.4L,,GDI,1,0,02191
330,10999.0,77713,3C4PDCAB2LT220381,2023-11-12 16:52:37.567672+00:00,Cars.com,DODGE,Journey,2020,,White,Black,FWD,Gasoline,Automatic,2.4L,,,0,0,
331,31488.0,4118,JF1ZNBC14P8759339,2023-11-12 17:43:28.352442+00:00,Cars.com,TOYOTA,GR86,2023,GR86,Other,Black,RWD,Gasoline,Automatic,2.4L,,DI,0,0,
332,24994.0,73152,5N1DL0MM2KC501782,2023-11-24 22:02:39.845813+00:00,Cars.com,INFINITI,QX60,2019,,Gray,Gray,AWD,Gasoline,Automatic,3.5L,V6,GDI,0,0,01464
333,52900.0,58536,1GNSKNKD4MR460920,2023-11-12 20:18:29.789934+00:00,Cars.com,CHEVROLET,Tahoe,2021,,Gray,Black,4WD,Gasoline,Automatic,5.3L,V8,GDI,0,0,
334,20987.0,69579,JM3KFBCL3H0213150,2023-11-24 21:59:28.863693+00:00,Cars.com,MAZDA,CX-5,2017,Touring,White,Black,AWD,Gasoline,Automatic,2.5L,I4,GDI,0,0,01464
335,13995.0,115927,JN8CS1MU4EM450006,2023-11-24 22:35:55.349646+00:00,Cars.com,INFINITI,QX70,2014,,Gray,Gray,RWD,Gasoline,Automatic,3.7L,V6,MPFI,0,0,01237
336,16990.0,111532,JN8CS1MW9GM750662,2023-11-24 22:34:16.542370+00:00,Cars.com,INFINITI,QX70,2016,,Other,Gray,AWD,Gasoline,Automatic,3.7L,V6,MPFI,0,0,01237
337,10995.0,122331,1J4RR4GG8BC555636,2023-11-24 22:07:47.405346+00:00,Cars.com,JEEP,Grand Cherokee,2011,Laredo,Other,Black,4WD,Gasoline,Automatic,3.6L,V6,,0,0,01464
338,85991.0,6778,WA1AWBF13ND007002,2023-11-12 20:18:32.922635+00:00,Cars.com,AUDI,SQ8,2022,,Black,Black,AWD,Gasoline,Automatic,4.0L,V8,GDI,1,0,
339,51900.0,3233,1FA6P8R04N5549904,2023-11-12 16:53:10.630996+00:00,Cars.com,FORD,Mustang,2022,,Gray,Black,RWD,Gasoline,Automatic,5.0L,V8,DI,0,0,
340,31901.0,67994,5FNYF6H50NB010606,2023-11-24 21:36:37.565456+00:00,Cars.com,HONDA,Pilot,2022,EXL,Gray,Black,AWD,Gasoline,Automatic,3.5L,V6,GDI,0,0,02045
341,62436.0,49768,1GNSKEKD3NR261391,2023-11-12 20:17:00.438791+00:00,Cars.com,CHEVROLET,Suburban,2022,,Black,Black,4WD,Gasoline,Automatic,5.3L,V8,GDI,0,0,
342,25333.0,84975,5TDJZRFH0HS465267,2023-11-24 21:36:28.278481+00:00,Cars.com,TOYOTA,Highlander,2017,SE/XLE,Black,Black,AWD,Gasoline,Automatic,3.5L,V6,DI,0,0,02045
343,48998.0,25753,SALWG2SU4LA740014,2023-11-12 17:44:10.247775+00:00,Cars.com,LAND ROVER,Range Rover Sport,2020,SE,Black,Black,4WD,Gasoline,Automatic,,V6,,0,0,
